imageUri,qaCorrection
s3://qa-manager-prod/golden_questions/1608741835/116/203_29.49461784_-95.138594_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Tree_None"", ""Condition_Fair"", ""Pool_No"", ""Type_Gabled""]"
s3://qa-manager-prod/golden_questions/1608741835/116/203_29.49461784_-95.138594_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Gabled"", ""Tree_None"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/117/204_29.42607845_-95.25235744_ortho.jpg,"[""Solar_No"", ""Type_Mixed"", ""Material_Shingle"", ""Condition_Fair"", ""Tree_Medium"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/117/204_29.42607845_-95.25235744_ortho.jpg,"[""Type_Mixed"", ""Tree_Low"", ""Pool_Yes"", ""Material_Shingle"", ""Condition_Fair"", ""Solar_No""]"
s3://qa-manager-prod/golden_questions/1608741835/117/204_29.42607845_-95.25235744_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Mixed"", ""Tree_Medium"", ""Pool_Yes"", ""Solar_No""]"
s3://qa-manager-prod/golden_questions/1608741835/118/205_27.80076412_-97.43873442_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Condition_Fair"", ""Tree_Low"", ""Pool_No"", ""Type_Gabled""]"
s3://qa-manager-prod/golden_questions/1608741835/118/205_27.80076412_-97.43873442_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Condition_Fair"", ""Type_Gabled"", ""Tree_Low"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/118/205_27.80076412_-97.43873442_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Gabled"", ""Tree_Low"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/119/206_27.80068782_-97.43855725_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Tree_None"", ""Condition_Fair"", ""Pool_No"", ""Type_Flat""]"
s3://qa-manager-prod/golden_questions/1608741835/119/206_27.80068782_-97.43855725_ortho.jpg,"[""Material_Shingle"", ""Condition_Fair"", ""Type_Flat"", ""Tree_None"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/119/206_27.80068782_-97.43855725_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Tree_None"", ""Solar_No"", ""Type_Flat"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/12/10_27.67702689_-97.34385976_ortho.jpg,"[""Solar_No"", ""Type_Mixed"", ""Material_Shingle"", ""Condition_Fair"", ""Tree_None"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/12/10_27.67702689_-97.34385976_ortho.jpg,"[""Type_Mixed"", ""Material_Shingle"", ""Tree_None"", ""Condition_Fair"", ""Pool_No"", ""Solar_No""]"
s3://qa-manager-prod/golden_questions/1608741835/12/10_27.67702689_-97.34385976_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Mixed"", ""Tree_None"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/120/207_27.80089703_-97.4388387_ortho.jpg,"[""No_Building""]"
s3://qa-manager-prod/golden_questions/1608741835/121/208_27.74674712_-97.43684552_ortho.jpg,"[""Solar_No"", ""Condition_Poor"", ""Material_Shingle"", ""Tree_Low"", ""Pool_No"", ""Type_Gabled""]"
s3://qa-manager-prod/golden_questions/1608741835/121/208_27.74674712_-97.43684552_ortho.jpg,"[""Condition_Poor"", ""Type_Gabled"", ""Pool_No"", ""Material_Shingle"", ""Tree_Low"", ""Solar_No""]"
s3://qa-manager-prod/golden_questions/1608741835/122/209_29.51591821_-95.0535646_ortho.jpg,"[""Solar_No"", ""Type_Mixed"", ""Material_Shingle"", ""Condition_Fair"", ""Tree_Low"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/122/209_29.51591821_-95.0535646_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Condition_Fair"", ""Pool_No"", ""Tree_Low"", ""Type_Mixed""]"
s3://qa-manager-prod/golden_questions/1608741835/122/209_29.51591821_-95.0535646_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Mixed"", ""Tree_Low"", ""Pool_No"", ""Solar_No""]"
s3://qa-manager-prod/golden_questions/1608741835/123/20_29.47250902_-95.20767667_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Tree_Low"", ""Pool_Yes"", ""Type_Gabled"", ""Condition_Fair""]"
s3://qa-manager-prod/golden_questions/1608741835/123/20_29.47250902_-95.20767667_ortho.jpg,"[""Type_Gabled"", ""Pool_Yes"", ""Tree_Low"", ""Material_Shingle"", ""Solar_No"", ""Condition_Fair""]"
s3://qa-manager-prod/golden_questions/1608741835/123/20_29.47250902_-95.20767667_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Gabled"", ""Tree_Low"", ""Solar_No"", ""Pool_Yes""]"
s3://qa-manager-prod/golden_questions/1608741835/124/210_29.53327561_-95.04365194_ortho.jpg,"[""Solar_No"", ""Tree_Low"", ""Type_Gabled"", ""Pool_Yes"", ""Condition_Fair"", ""Material_Shingle""]"
s3://qa-manager-prod/golden_questions/1608741835/124/210_29.53327561_-95.04365194_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Condition_Fair"", ""Pool_Yes"", ""Type_Gabled"", ""Tree_Low""]"
s3://qa-manager-prod/golden_questions/1608741835/124/210_29.53327561_-95.04365194_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Condition_Fair"", ""Tree_Low"", ""Pool_Yes"", ""Type_Gabled""]"
s3://qa-manager-prod/golden_questions/1608741835/125/211_29.53329287_-95.04380201_ortho.jpg,"[""Solar_No"", ""Condition_Fair"", ""Material_Shingle"", ""Type_Hip"", ""Pool_Yes"", ""Tree_None""]"
s3://qa-manager-prod/golden_questions/1608741835/125/211_29.53329287_-95.04380201_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Tree_None"", ""Condition_Fair"", ""Type_Hip"", ""Pool_Yes""]"
s3://qa-manager-prod/golden_questions/1608741835/125/211_29.53329287_-95.04380201_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Hip"", ""Tree_None"", ""Solar_No"", ""Pool_Yes""]"
s3://qa-manager-prod/golden_questions/1608741835/126/212_29.53343225_-95.04364574_ortho.jpg,"[""No_Building""]"
s3://qa-manager-prod/golden_questions/1608741835/127/213_27.72631781_-97.35524176_ortho.jpg,"[""Solar_No"", ""Tree_Low"", ""Pool_Yes"", ""Condition_Good"", ""Material_Metal"", ""Type_Gabled""]"
s3://qa-manager-prod/golden_questions/1608741835/127/213_27.72631781_-97.35524176_ortho.jpg,"[""Solar_No"", ""Pool_Yes"", ""Condition_Good"", ""Material_Metal"", ""Type_Gabled"", ""Tree_None""]"
s3://qa-manager-prod/golden_questions/1608741835/127/213_27.72631781_-97.35524176_ortho.jpg,"[""Condition_Good"", ""Material_Metal"", ""Type_Gabled"", ""Tree_Low"", ""Solar_No"", ""Pool_Yes""]"
s3://qa-manager-prod/golden_questions/1608741835/128/214_27.72644567_-97.35507466_ortho.jpg,"[""No_Building""]"
s3://qa-manager-prod/golden_questions/1608741835/129/215_29.1262524_-95.06547737_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Tree_None"", ""Type_Hip"", ""Pool_No"", ""Condition_Good""]"
s3://qa-manager-prod/golden_questions/1608741835/129/215_29.1262524_-95.06547737_ortho.jpg,"[""Solar_No"", ""Pool_No"", ""Type_Hip"", ""Material_Shingle"", ""Condition_Good"", ""Tree_None""]"
s3://qa-manager-prod/golden_questions/1608741835/129/215_29.1262524_-95.06547737_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Tree_None"", ""Pool_No"", ""Condition_Good"", ""Type_Hip""]"
s3://qa-manager-prod/golden_questions/1608741835/13/110_29.58451631_-95.37344511_ortho.jpg,"[""Solar_No"", ""Type_Mixed"", ""Material_Shingle"", ""Tree_Low"", ""Pool_Yes"", ""Condition_Good""]"
s3://qa-manager-prod/golden_questions/1608741835/13/110_29.58451631_-95.37344511_ortho.jpg,"[""Pool_Yes"", ""Solar_No"", ""Material_Shingle"", ""Condition_Good"", ""Tree_Low"", ""Type_Mixed""]"
s3://qa-manager-prod/golden_questions/1608741835/13/110_29.58451631_-95.37344511_ortho.jpg,"[""Condition_Good"", ""Material_Shingle"", ""Type_Gabled"", ""Tree_Low"", ""Solar_No"", ""Pool_Yes""]"
s3://qa-manager-prod/golden_questions/1608741835/130/216_29.79762527_-94.91552921_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Condition_Fair"", ""Type_Hip"", ""Pool_Yes"", ""Tree_None""]"
s3://qa-manager-prod/golden_questions/1608741835/130/216_29.79762527_-94.91552921_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Condition_Fair"", ""Type_Hip"", ""Tree_None"", ""Pool_Yes""]"
s3://qa-manager-prod/golden_questions/1608741835/130/216_29.79762527_-94.91552921_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Hip"", ""Tree_None"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/131/217_29.79770115_-94.9156712_ortho.jpg,"[""No_Building""]"
s3://qa-manager-prod/golden_questions/1608741835/132/218_29.33941755_-95.05027074_ortho.jpg,"[""Solar_No"", ""Type_Mixed"", ""Material_Metal"", ""Condition_Good"", ""Pool_No"", ""Tree_None""]"
s3://qa-manager-prod/golden_questions/1608741835/132/218_29.33941755_-95.05027074_ortho.jpg,"[""Condition_Good"", ""Material_Metal"", ""Type_Mixed"", ""Tree_None"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/132/218_29.33941755_-95.05027074_ortho.jpg,"[""Condition_Good"", ""Material_Metal"", ""Type_Mixed"", ""Tree_None"", ""Pool_No"", ""Solar_No""]"
s3://qa-manager-prod/golden_questions/1608741835/133/219_29.33912528_-95.0502621_ortho.jpg,"[""Solar_No"", ""Tree_None"", ""Pool_No"", ""Condition_Good"", ""Material_Metal"", ""Type_Gabled""]"
s3://qa-manager-prod/golden_questions/1608741835/133/219_29.33912528_-95.0502621_ortho.jpg,"[""Solar_No"", ""Material_Metal"", ""Condition_Good"", ""Type_Gabled"", ""Pool_No"", ""Tree_None""]"
s3://qa-manager-prod/golden_questions/1608741835/134/21_29.47256069_-95.20753984_ortho.jpg,"[""Tree_Medium"", ""Solar_No"", ""Material_Shingle"", ""Condition_Fair"", ""Pool_No"", ""Type_Gabled""]"
s3://qa-manager-prod/golden_questions/1608741835/134/21_29.47256069_-95.20753984_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Condition_Fair"", ""Type_Gabled"", ""Pool_No"", ""Tree_Medium""]"
s3://qa-manager-prod/golden_questions/1608741835/134/21_29.47256069_-95.20753984_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Gabled"", ""Tree_Medium"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/135/220_29.33929559_-95.05057087_ortho.jpg,"[""Solar_No"", ""Tree_None"", ""Pool_No"", ""Condition_Good"", ""Material_Metal"", ""Type_Gabled""]"
s3://qa-manager-prod/golden_questions/1608741835/135/220_29.33929559_-95.05057087_ortho.jpg,"[""Condition_Good"", ""Material_Metal"", ""Type_Gabled"", ""Tree_None"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/136/221_29.33917992_-95.05010897_ortho.jpg,"[""No_Building""]"
s3://qa-manager-prod/golden_questions/1608741835/136/221_29.33917992_-95.05010897_ortho.jpg,"[""Condition_Fair"", ""Material_Metal"", ""Type_Gabled"", ""Tree_None"", ""Pool_No"", ""Solar_No""]"
s3://qa-manager-prod/golden_questions/1608741835/137/222_29.035232_-95.42428776_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Tree_Low"", ""Pool_No"", ""Condition_Good"", ""Type_Gabled""]"
s3://qa-manager-prod/golden_questions/1608741835/137/222_29.035232_-95.42428776_ortho.jpg,"[""Condition_Good"", ""Material_Shingle"", ""Type_Gabled"", ""Tree_Low"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/138/223_29.36420472_-95.14031456_ortho.jpg,"[""Solar_No"", ""Tree_None"", ""Condition_Fair"", ""Pool_No"", ""Material_Metal"", ""Type_Gabled""]"
s3://qa-manager-prod/golden_questions/1608741835/138/223_29.36420472_-95.14031456_ortho.jpg,"[""Tree_None"", ""Condition_Fair"", ""Material_Metal"", ""Pool_No"", ""Type_Gabled"", ""Solar_No""]"
s3://qa-manager-prod/golden_questions/1608741835/138/223_29.36420472_-95.14031456_ortho.jpg,"[""Type_Gabled"", ""Condition_Fair"", ""Tree_None"", ""Material_Metal"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/139/224_29.36450169_-95.14055679_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Condition_Fair"", ""Tree_Low"", ""Pool_No"", ""Type_Gabled""]"
s3://qa-manager-prod/golden_questions/1608741835/139/224_29.36450169_-95.14055679_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Gabled"", ""Tree_Low"", ""Pool_No"", ""Solar_No""]"
s3://qa-manager-prod/golden_questions/1608741835/14/111_27.60104934_-97.21874935_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Tree_None"", ""Pool_Yes"", ""Condition_Good"", ""Type_Gabled""]"
s3://qa-manager-prod/golden_questions/1608741835/14/111_27.60104934_-97.21874935_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Tree_Low"", ""Pool_Yes"", ""Type_Gabled"", ""Condition_Good""]"
s3://qa-manager-prod/golden_questions/1608741835/14/111_27.60104934_-97.21874935_ortho.jpg,"[""Condition_Good"", ""Material_Shingle"", ""Type_Gabled"", ""Tree_Low"", ""Pool_Yes"", ""Solar_No""]"
s3://qa-manager-prod/golden_questions/1608741835/140/225_29.364053000000002_-95.14013454_ortho.jpg,"[""Solar_No"", ""Tree_None"", ""Condition_Fair"", ""Pool_No"", ""Material_Metal"", ""Type_Gabled""]"
s3://qa-manager-prod/golden_questions/1608741835/140/225_29.364053000000002_-95.14013454_ortho.jpg,"[""Condition_Fair"", ""Material_Metal"", ""Type_Gabled"", ""Tree_None"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/141/226_29.36399112_-95.13946246_ortho.jpg,"[""Condition_Good"", ""Material_Metal"", ""Type_Gabled"", ""Pool_No"", ""Solar_No"", ""Tree_None""]"
s3://qa-manager-prod/golden_questions/1608741835/141/226_29.36399112_-95.13946246_ortho.jpg,"[""Solar_No"", ""Tree_None"", ""Pool_No"", ""Condition_Good"", ""Type_Gabled"", ""Material_Metal""]"
s3://qa-manager-prod/golden_questions/1608741835/141/226_29.36399112_-95.13946246_ortho.jpg,"[""Condition_Fair"", ""Material_Metal"", ""Type_Gabled"", ""Tree_None"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/142/227_29.36469325_-95.1397485_ortho.jpg,"[""Solar_No"", ""Tree_None"", ""Condition_Fair"", ""Pool_No"", ""Material_Metal"", ""Type_Gabled""]"
s3://qa-manager-prod/golden_questions/1608741835/142/227_29.36469325_-95.1397485_ortho.jpg,"[""Solar_No"", ""Pool_No"", ""Material_Metal"", ""Type_Flat"", ""Condition_Fair"", ""Tree_None""]"
s3://qa-manager-prod/golden_questions/1608741835/142/227_29.36469325_-95.1397485_ortho.jpg,"[""Condition_Poor"", ""Material_Metal"", ""Tree_None"", ""Type_Flat"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/143/228_29.36468127_-95.13952739_ortho.jpg,"[""No_Building""]"
s3://qa-manager-prod/golden_questions/1608741835/144/229_29.36470902_-95.13903377_ortho.jpg,"[""No_Building""]"
s3://qa-manager-prod/golden_questions/1608741835/145/22_29.47261152_-95.20766747_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Condition_Fair"", ""Pool_No"", ""Type_Gabled"", ""Tree_Medium""]"
s3://qa-manager-prod/golden_questions/1608741835/145/22_29.47261152_-95.20766747_ortho.jpg,"[""Solar_No"", ""Pool_Yes"", ""Material_Shingle"", ""Condition_Fair"", ""Type_Gabled"", ""Tree_Low""]"
s3://qa-manager-prod/golden_questions/1608741835/145/22_29.47261152_-95.20766747_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Gabled"", ""Solar_No"", ""Pool_Yes"", ""Tree_Medium""]"
s3://qa-manager-prod/golden_questions/1608741835/146/230_28.60734355_-96.63621049_ortho.jpg,"[""Type_Mixed"", ""Solar_No"", ""Pool_No"", ""Condition_Good"", ""Material_Metal"", ""Tree_Low""]"
s3://qa-manager-prod/golden_questions/1608741835/146/230_28.60734355_-96.63621049_ortho.jpg,"[""Solar_No"", ""Material_Metal"", ""Condition_Good"", ""Pool_No"", ""Tree_Low"", ""Type_Mixed""]"
s3://qa-manager-prod/golden_questions/1608741835/146/230_28.60734355_-96.63621049_ortho.jpg,"[""Solar_No"", ""Type_Mixed"", ""Pool_No"", ""Condition_Good"", ""Material_Metal"", ""Tree_Low""]"
s3://qa-manager-prod/golden_questions/1608741835/147/231_25.94522203_-97.48251472_ortho.jpg,"[""Solar_No"", ""Condition_Fair"", ""Material_Asphalt"", ""Type_Flat"", ""Tree_Low"", ""Pool_No""]"
